id,lon,lat,start,end
fire_01615,-123.598273,39.90557,2022-06-17,2022-07-16
fire_01616,-120.02107,37.481701,2022-06-18,2022-07-17
fire_01617,-121.27693,39.314076,2022-06-18,2022-07-17
fire_01618,-123.33756,39.058043,2022-06-19,2022-07-18
fire_01619,-121.656106,37.719206,2022-06-19,2022-07-18
fire_01620,-120.4422218,37.935092,2022-06-21,2022-07-20
fire_01621,-121.604728,36.8927679,2022-06-21,2022-07-20
fire_01622,-119.9234728,37.5509366,2022-06-22,2022-07-21
fire_01623,-120.63742,38.75794,2022-06-26,2022-07-25
fire_01624,-116.7626279,33.0819687,2022-06-27,2022-07-26
fire_01625,-121.304167,39.323167,2022-06-27,2022-07-26
fire_01626,-122.894782,41.833813,2022-06-29,2022-07-28
fire_01627,-117.3463886,34.312437,2022-06-29,2022-07-28
fire_01628,-118.4125811,35.5745007,2022-06-30,2022-07-29
fire_01629,-123.0213226,41.5734543,2022-06-30,2022-07-29
fire_01630,-119.1902259,36.6760553,2022-07-01,2022-07-30
